"matricula" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"284" "3846283383" 5.9 6.5 7.7 8.9 9.1 7.7 7.1 7 5 8.5 5 7.7 7 7.1 8 7.2 7.2 7 7.9 7.6 7 9.2 7.8 9.7 9.2 9.1 5.6 6.2 7.5 5 8.2 7.8 6.1 5 9.5 8.4 8.5 8.4 7.3 8.9 5.9 7 6.3 6 7.23965249271457
"288" "3846283390" 7 5.5 7.6 7 5.8 7 6.8 5.3 5.6 8.3 7.3 6.5 7.8 7 6.8 8.2 7.5 6.1 8.9 6 6.1 9.5 7.2 7.8 8.3 8.2 5.6 5.2 8.2 5 7 7.2 7 5 7.1 7.1 8.3 8.4 5.8 7.8 5.7 7.1 5 7 7.23965249271457
"315" "3878422761" 7.7 7 5.4 7.5 5.7 5 7.2 9.3 5.5 9.2 7 6 6.5 8 8.4 8.3 9.3 7 8.1 7 7 9.3 7.8 7.8 9.7 8.3 7.7 7.4 8.2 5.2 7 9.2 8.5 5.6 7.8 8.2 8.9 8.5 7 8.5 5 7.2 7.3 7.6 7.23965249271457
"328" "3950521777" 8.3 7 8.7 9.6 9.4 9.2 6.3 6.7 9 9.8 9.7 8.1 7.6 8.8 8.6 9.4 9.5 8.8 8.6 9.3 8.8 9.4 9.2 8.8 9.5 9.6 9.7 8.8 8.5 8.2 9.5 9.1 8.1 7.7 8.3 9.6 10 10 8.3 9.9 8.7 9.7 9.2 8.4 7.23965249271457
"330" "3950521779" 7.4 8 7 8.7 7 6.5 8.1 5.5 7.2 9.8 7.7 6.7 7 8.4 7.9 9 9 7 7.5 8.9 7 7.6 8.3 7.3 9.2 9.3 8.2 6.2 9.2 7.8 7.4 8.1 7.7 5.2 8 9.1 8.9 8.6 7 9.5 7.2 7 6 7.2 7.23965249271457
"376" "4277991258" 6.1 5.9 7.9 8.3 7.7 5.8 5 6.2 6.4 7.4 7.8 7 7 9.3 8.2 8.4 7 7 7.7 7.6 7 8.3 8.3 8 9.2 7.3 7.5 7.1 8.7 7.3 7 7.9 8.9 5.9 7.7 8 7.1 8.6 7 7.9 7.3 7 7 5 7.23965249271457
"377" "4277991263" 7.3 5.6 7.1 6.4 7.8 6.2 7 5.6 7 7 7.4 7 7.1 9.5 7.7 9 7.9 7.2 8 7.7 7.2 8.5 7.9 7 8.8 7.5 7.3 6 8.3 7.4 5.9 7.2 7.3 6.3 5.6 7.7 7.9 7.6 7.8 7.6 5.5 5 5.8 7 7.23965249271457
"380" "483802998" 7.7 8.8 5.5 6.7 7 5.8 8 5.2 7 9.7 7.7 6.8 5.9 8 6.3 7.5 7.1 7.7 7.1 7 7.7 8.5 7 5.1 6.5 7.3 7.1 5.2 5 7.3 8.1 5.7 8.3 6.9 5.1 6.5 6.2 8.2 7 8 5.6 5 5 5 7.23965249271457
"381" "483803003" 5 6.3 8 5 8.7 7 7 5 6.3 10 8.1 6.7 7.8 8.3 7.1 8.3 8.7 7.1 7.6 8.2 7.1 9.6 7.6 7.9 5 7.2 8.3 6.3 8.1 7.4 6 7.2 9.3 6.7 5.3 7.7 7.1 8 7.2 9.7 6.1 7.4 7 6.3 7.23965249271457
"392" "701403947" 7 9.7 8.5 7.3 8.8 7.3 7.8 8 7 9.8 7 7.8 7.5 7.5 8.6 9.2 8.3 7.2 9.8 9.3 7.2 9.3 8.2 8.8 9.1 7.3 7.6 7.6 9 7 8.1 8.3 9.2 6.6 9.1 9 8.5 8.2 7.3 6.9 6.4 5.9 8.9 8.9 7.23965249271457
"395" "702403947" 7.1 7.9 7.9 9.1 6.4 6.1 5.6 5.2 6.4 8.5 7 5 7 8.5 7.9 9 7.1 7 8.6 7.5 7 7 9 6.7 7 7 6.1 7.6 7.8 7 7.2 8.5 7.1 6.4 6.6 7.8 9.6 8.9 7 7.9 5.1 5 5.4 7.1 7.23965249271457
"396" "709403923" 7 9 7.1 7.6 7.2 6.8 9.3 7.2 5.3 9.8 7.1 7.2 9 7.9 8 7 9.1 7.2 9.1 8.9 7.2 7.1 9.4 9 8.9 7.3 5 7.7 7 8.5 6.4 7.2 5 7.2 7.6 9.3 8.7 8.4 8.3 7.5 5.2 7.3 7.2 7.5 7.23965249271457
"400" "735017893" 7.5 6.8 7.1 8.9 6.7 7.2 7 6.3 5.8 8.3 8.3 7.1 9 7.5 5.2 8.8 9 7 8.6 8 7 8.3 8.9 8.2 8.9 6.4 7 8 8.1 7.3 7.7 7.4 7 5.2 7 7.9 8.7 9 7.5 7.9 7 7 7.6 5.4 7.23965249271457
"405" "736017891" 5.4 7 7.6 8 5.9 5.9 7 6.5 6.1 10 7.4 8 7.2 8.3 5.3 7.7 7.7 7 8.7 7.6 7 7.4 8.9 7.7 9 7.2 7.2 7.9 8 7.8 7.1 7.4 7 7 7.9 8.7 8 10 6.4 8.4 7 6.4 6.6 6.5 7.23965249271457
"410" "914025797" 8.5 7 8.4 8.8 7.9 8 7 7.3 8.3 9 9.3 8.2 7.8 8.5 8.8 9.8 9.2 7.8 8.8 9.4 7.8 10 7.4 7.7 9.6 9.2 9.4 8.5 7.8 8 9 8.9 9.5 8.6 7.6 9 7.1 8.6 9.1 9.5 7.8 8.8 7.8 8.7 7.23965249271457
