"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"444" "d6f59542971303478db50822a305ab9d" 7 9.7 8.5 7.3 8.8 7.3 7.8 8 7 9.8 7 7.8 7.5 7.5 8.6 9.2 8.3 7.2 9.8 9.3 7.2 9.3 8.2 8.8 9.1 7.3 7.6 7.6 9 7 8.1 8.3 9.2 6.6 9.1 9 8.5 8.2 7.3 6.9 6.4 5.9 8.9 8.9 7.66923076923077
"455" "df909806a7177666352e2d74e53dc7ae" 5.7 5.7 6.4 5.7 8.4 5.4 5.2 7.5 6.1 8.1 5.8 5 7 7.7 7.3 8 7 7 7.5 6.5 7 7.9 7.7 5.8 8.9 7.7 6.8 5.4 8.2 6.6 5.4 7.3 5 5.2 5.4 7 8.3 8.4 7.7 8.2 7 6.3 5.8 5.3 5.58165137614679
"465" "e451740f7eab90df7d3ad4b4eac10d31" 7.6 8.9 7.2 7.1 7.4 6 6.7 5.1 5.6 8.2 8.1 7.4 7 8.4 8.7 8.3 8 6.3 8.3 8 6.3 7.6 9.8 7 9.4 9.3 7 5.4 9 7.5 6.1 7.7 5.4 6.8 7.4 7.9 8.5 8.5 6.8 8.4 7 5.2 6.3 7.4 7.20786516853933
"470" "e87a695a3967657639c9fb9e1bc3dfc8" 6.5 8.3 8 9 5.4 7.6 5.3 5.8 6.8 9 9 7 7.4 8.3 8.5 9 8.4 5 9 5.8 5 8.9 9 7.8 7.9 7.6 7.6 6 9.2 7 6 7 7.7 5 7.4 7.9 9.6 8.9 6.1 7.1 6.4 7 5.1 6.3 6.90526315789474
"477" "ebdebdb6d289cafc7e1ddf6e8c01737b" 7.7 7 5.4 7.5 5.7 5 7.2 9.3 5.5 9.2 7 6 6.5 8 8.4 8.3 9.3 7 8.1 7 7 9.3 7.8 7.8 9.7 8.3 7.7 7.4 8.2 5.2 7 9.2 8.5 5.6 7.8 8.2 8.9 8.5 7 8.5 5 7.2 7.3 7.6 6.9319587628866
"480" "ede1f25d28a78b3ed7d3f21cab2e50e7" 7.4 10 6.2 6.1 7.1 6.4 9.5 7 5.9 9.7 7.5 5 7.3 7.7 7.5 8.4 7.7 7.5 7.1 8.1 7.5 7.5 7.7 6.2 8.5 8 8 5.6 8.7 8.3 7.5 8.7 5.4 7.3 6 6.3 8.9 8.3 7.1 8.4 6.3 7.1 6.2 7.2 7.40117647058824
"482" "ee59db7b21f9a355aaf835f4c57bc1c2" 7.1 7.9 7.9 9.1 6.4 6.1 5.6 5.2 6.4 8.5 7 5 7 8.5 7.9 9 7.1 7 8.6 7.5 7 7 9 6.7 7 7 6.1 7.6 7.8 7 7.2 8.5 7.1 6.4 6.6 7.8 9.6 8.9 7 7.9 5.1 5 5.4 7.1 6.99550561797753
"497" "f872bc6c67e3bc2047c52a8e9cf33233" 5.5 8 7 7 5.6 5.1 7.1 7.3 6.5 9.5 6.8 5 5.8 8.5 8.1 8.5 8.7 7 7 7.6 7 7.4 7.6 5.5 8.9 10 8 5.2 8.7 6.5 6.9 7.5 5.8 5 5.1 8.3 7.8 7.9 5.3 9.3 5.5 7.5 5.3 7.4 6.98620689655172
"498" "f89da3ffa5c71d6a4597bf8a4c3078e6" 6.6 7.1 5.3 7.5 6.1 6.4 8 8.2 6 7.6 7 5.5 7 9.1 7.9 8.9 8.1 6.1 8.2 7.7 6.1 8.8 7.2 5 8.9 7.8 8 7 8.7 6.4 8.2 9 7 5 5 7.8 8.1 9.1 7.4 8 5.9 7 5.5 8.2 7.10224719101124
"500" "f9533d97387651009894d5f5207babd7" 5.6 5 7.9 8.2 6.5 6.2 5 5.3 8.3 9.8 9.2 7 7.1 9.2 8 8.8 9.3 7.1 7.4 8.3 7.1 8.1 8.2 8.1 7.5 7.2 8.1 7 8.2 7 7.1 7 7.5 5.9 7.8 6.7 8.9 7.7 8 8.9 6.6 8 6 5.9 7.28202247191011
"501" "f97bd67bbf8799688e737c2262349d7c" 9.4 9.2 9.1 8.3 9.7 9.5 9.5 8.1 7.4 10 8.7 8.5 8.2 9.5 8.3 9 9.6 8.5 9.8 9.3 8.5 8.3 9.1 9.8 9.1 8 9.2 8 9.6 9.4 8.2 9.9 9.5 9.2 8.9 9.3 7.1 7.8 8.4 9.8 8.8 8.9 9.4 9.8 8.92470588235294
"510" "fed8daba8088a4b2fd69863810b70929" 7 7 7.7 7.1 7.2 7 6.1 5 6.5 9.8 7.4 5.3 8.3 7.5 8.6 8.4 8.2 7.4 8.3 7.1 7.4 7.7 9 5.9 9 8.6 6.1 5.3 8.5 8 7.6 7 7 5 7.4 7.6 8.2 8.9 7 9.1 6.5 7.8 6 7.2 7.3
